BANH_AFC_1,Bánh cracker vị lúa mì AFC Dinh Dưỡng hộp 172g,30500,18 × 10 × 3 cm
BANH_AFC_2,Bánh cracker vị rau AFC Dinh Dưỡng hộp 172g,31000,18 × 10 × 3 cm
BANH_AN_11,Bánh gạo nướng vị tảo biển Orion An gói 159g,45000,16 × 9 × 2 cm
BANH_BON_3,Bánh bông lan sợi thịt gà Orion C'est Bon gói 85g (5 cái x 17g),20000,"14 × 8 × 2,5 cm"
BANH_CHOCOPIE_7,Bánh chocopie Orion hộp 66g (2 cái),45000,12 × 7 × 3 cm
BANH_COFFETOY_6,Bánh quy vị cà phê Coffee Joy hộp 156g,27000,17 × 11 × 2.5 cm
BANH_COSY_16,Bánh quế vị kem socola Cosy gói 117.6g,14500,16 × 9 × 2 cm
BANH_COSY_17,Bánh quy nhân mứt thơm Cosy hộp 240g,45000,20 × 12 × 3 cm
BANH_CUSTAS_8,BÁNH TRỨNG CAO CẤP CUSTARD 25k,25000,15 × 9 × 3 cm
BANH_CUSTAS_9,Bánh kem trứng Custas hộp 470g (20 cái),45000,25 × 17 × 5 cm
BANH_DANISA_18,Bánh quy bơ Danisa hộp 681g,45000,23 × 23 × 16 cm
BANH_DANISA_19,Bánh quy bơ Danisa hộp 681g,45000,23 × 23 × 16 cm
BANH_GOODY_20,Bánh quy bơ hỗn hợp Goody cao cấp hộp 454g,45000,20 × 20 × 13 cm
BANH_GOUTE_13,Bánh quy mè Gouté hộp 288g,45000,18 × 12 × 4 cm
BANH_HURA_4,Bánh bông lan hương sữa dâu Hura Deli hộp 168g (6 cái),31000,16 × 9 × 4 cm
BANH_ICHI_12,Bánh gạo Nhật vị Shouyu mật ong Ichi gói 100g,21000,15 × 10 × 2 cm
BANH_KITKAT_14,Bánh xốp phủ socola KitKat gói 35g,45000,13 × 7 × 2 cm
BANH_MARINEBOY_5,Snack Orion - Bánh Jungle Boy/ Marine Boy hộp 35g,10500,14 × 8 × 2 cm
BANH_NABATI_15,Bánh xốp nhân phô mai Nabati hộp 300g,45000,22 × 12 × 4 cm
BANH_OSTAR_21,Bánh Snack Khoai Tây 35g,6000,13 × 8 × 2 cm
BANH_OSTAR_22,Snack khoai tây vị kim chi Hàn Quốc O'Star gói 55g,12000,15 × 10 × 3 cm
BANH_OSTAR_23,Snack khoai tây vị tự nhiên O'Star gói 55g,12000,15 × 10 × 3 cm
BANH_OSTAR_24,Snack khoai tây vị phô mai trứng muối O'Star gói 90g,22000,18 × 12 × 4 cm
BANH_OSTAR_25,Snack khoai tây vị tảo biển O'Star gói 55g,12000,15 × 10 × 3 cm
BANH_VIFON_10,Bánh đa cua Vifon gói 60g,45000,14 × 10 × 3 cm
BCS_DUREX_26,Hộp 12 cái bao cao su Durex Fetherlite Ultima 52mm,45000,12 × 6 × 3 cm
BCS_DUREX_27,Bao Cao Su Durex Invisible hộp 3 gói,92000,7 × 7 × 3 cm
BCS_DUREX_28,Bao Cao Su Durex Chocolate (3s) - Gai Nhỏ - Hương Socola - Nhập Khẩu Ấn Độ,99000,7 × 7 × 3 cm
BCS_DUREX_29,"Bao cao su Durex Pleasuremax, Hộp 03 cái",62000,18 × 10 × 3 cm
